DATE,PRCP,TMAX,TMIN
1/18/2024 0:35,0.01,27.1,27.1
1/18/2024 0:35,0.01,27.1,27.1
1/18/2024 0:35,0.01,27.1,27.1
1/18/2024 0:35,0.01,27.1,27.1
1/18/2024 0:35,0.01,27.1,27.1
1/18/2024 0:35,0.01,27.1,27.1
1/18/2024 0:35,0.01,27.1,27.1
1/18/2024 0:35,0.01,27.1,27.1
1/18/2024 0:35,0.01,27.1,26.7
1/18/2024 0:35,0.01,27.1,26.7
1/18/2024 0:35,0.01,27.1,26.7
1/18/2024 0:36,0.01,27.1,26.7
1/18/2024 0:36,0.01,27.1,26.7
1/18/2024 0:36,0.01,27.1,26.7
1/18/2024 0:36,0.01,27.1,26.7
1/18/2024 0:36,0.01,27.1,26.7
1/18/2024 0:36,0.01,27.1,26.7
1/18/2024 0:36,0.01,27.1,26.7
1/18/2024 0:36,0.01,27.1,26.2
1/18/2024 0:36,0.01,27.1,26.2
1/18/2024 0:36,0.01,27.1,26.2
1/18/2024 0:36,0.01,27.1,26.2
1/18/2024 0:36,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26.2
1/18/2024 0:37,0.01,27.1,26
1/18/2024 0:37,0.01,27.1,25.8
1/18/2024 0:37,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:38,0.01,27.1,25.8
1/18/2024 0:39,0.01,27.1,25.8
1/18/2024 0:39,0.01,27.1,25.8
1/18/2024 0:39,0.01,27.1,25.8
1/18/2024 0:39,0.01,27.1,25.8
1/18/2024 0:39,0.01,27.1,25.8
1/18/2024 0:39,0.01,27.1,25.8
1/18/2024 0:39,0.01,27.1,25.8
1/18/2024 0:39,0.01,27.1,25.3
1/18/2024 0:39,0.01,27.1,25.3
1/18/2024 0:39,0.01,27.1,25.3
1/18/2024 0:39,0.01,27.1,25.3
1/18/2024 0:39,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:40,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:41,0.01,27.1,25.3
1/18/2024 0:42,0.01,27.1,25.3
1/18/2024 0:42,0.01,27.1,25.3
1/18/2024 0:42,0.01,27.1,25.3
1/18/2024 0:42,0.01,27.1,25.3
1/18/2024 0:42,0.01,27.1,25.3
1/18/2024 0:42,0.01,27.1,25.3
1/18/2024 0:42,0.01,27.1,25.2
1/18/2024 0:42,0.01,27.1,24.8
1/18/2024 0:42,0.01,27.1,24.8
1/18/2024 0:42,0.01,27.1,24.8
1/18/2024 0:42,0.01,27.1,24.8
1/18/2024 0:42,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:43,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:44,0.01,27.1,24.8
1/18/2024 0:45,0.01,27.1,24.8
